Date,Bitcoin_SVI,Cryptocurrecy_SVI
4/3/2020,8.64,4.34
5/3/2020,9.26,3.76
6/3/2020,8.95,3.33
7/3/2020,7.10,3.04
8/3/2020,8.02,4.34
9/3/2020,16.05,5.16
10/3/2020,12.34,4.44
11/3/2020,10.49,4.23
12/3/2020,22.83,6.20
13/3/2020,30.86,6.71
14/3/2020,20.06,5.06
15/3/2020,9.36,3.72
16/3/2020,12.25,3.80
17/3/2020,10.21,3.39
18/3/2020,9.53,3.31
19/3/2020,10.21,3.88
20/3/2020,10.04,3.56
21/3/2020,8.68,3.39
22/3/2020,6.84,3.72
23/3/2020,7.62,3.62
24/3/2020,7.62,4.09
25/3/2020,6.68,3.72
26/3/2020,6.22,3.62
27/3/2020,5.91,3.53
28/3/2020,6.06,3.90
29/3/2020,5.76,3.72
30/3/2020,5.92,3.63
31/3/2020,5.45,3.54
1/4/2020,5.29,3.72
2/4/2020,6.38,3.72
3/4/2020,5.76,3.63
4/4/2020,5.14,3.90
5/4/2020,6.12,4.34
6/4/2020,8.09,5.10
7/4/2020,8.29,5.10
8/4/2020,7.30,4.99
9/4/2020,6.91,5.10
10/4/2020,7.50,5.10
11/4/2020,7.11,4.88
12/4/2020,5.76,3.72
13/4/2020,6.63,3.80
14/4/2020,6.28,3.54
15/4/2020,5.93,3.63
16/4/2020,6.63,3.89
17/4/2020,6.11,3.72
18/4/2020,5.59,3.72
19/4/2020,5.76,4.34
20/4/2020,6.11,3.97
21/4/2020,5.93,4.06
22/4/2020,5.76,4.15
23/4/2020,6.63,4.34
24/4/2020,6.81,4.34
25/4/2020,6.28,4.89
26/4/2020,7.20,4.34
27/4/2020,7.60,4.25
28/4/2020,7.40,4.25
29/4/2020,11.20,5.05
30/4/2020,13.20,5.22
1/5/2020,9.80,4.78
2/5/2020,9.20,4.69
3/5/2020,8.28,4.96
4/5/2020,7.74,4.41
5/5/2020,7.92,4.59
6/5/2020,8.82,4.77
7/5/2020,10.98,5.23
8/5/2020,12.06,5.69
9/5/2020,10.62,5.51
10/5/2020,9.36,4.96
11/5/2020,11.38,4.04
12/5/2020,8.22,3.97
13/5/2020,7.08,3.75
14/5/2020,7.21,3.75
15/5/2020,6.20,3.61
16/5/2020,5.44,3.82
17/5/2020,6.48,4.34
18/5/2020,6.48,4.10
19/5/2020,5.90,3.86
20/5/2020,5.90,3.86
21/5/2020,6.34,3.78
22/5/2020,5.76,3.71
23/5/2020,5.04,3.78
24/5/2020,5.76,4.34
25/5/2020,6.56,4.34
26/5/2020,6.08,4.17
27/5/2020,5.92,4.00
28/5/2020,5.76,4.08
29/5/2020,5.60,3.91
30/5/2020,4.96,4.25
31/5/2020,5.76,4.34
1/6/2020,5.94,4.16
2/6/2020,8.64,4.61
3/6/2020,6.84,4.07
4/6/2020,6.30,4.43
5/6/2020,6.12,3.98
6/6/2020,5.04,4.07
7/6/2020,5.40,4.34
8/6/2020,5.94,4.25
9/6/2020,5.94,4.43
10/6/2020,5.94,4.34
11/6/2020,6.48,4.07
12/6/2020,5.94,4.07
13/6/2020,4.50,3.89
14/6/2020,4.68,3.72
15/6/2020,6.18,3.63
16/6/2020,5.99,3.63
17/6/2020,5.62,3.80
18/6/2020,5.24,3.72
19/6/2020,5.05,3.63
20/6/2020,4.49,3.47
21/6/2020,4.68,4.34
22/6/2020,6.17,4.74
23/6/2020,6.38,4.74
24/6/2020,5.96,4.74
25/6/2020,5.74,4.34
26/6/2020,5.74,5.45
27/6/2020,5.32,4.64
28/6/2020,4.68,3.72
29/6/2020,4.68,3.47
30/6/2020,4.68,3.47
1/7/2020,4.33,3.47
2/7/2020,4.51,3.64
3/7/2020,3.99,3.47
4/7/2020,3.81,3.64
5/7/2020,4.32,4.34
6/7/2020,4.88,4.64
7/7/2020,4.70,5.14
8/7/2020,5.26,6.35
9/7/2020,4.88,5.75
10/7/2020,4.51,4.94
11/7/2020,4.32,5.04
12/7/2020,3.13,4.96
13/7/2020,3.41,5.36
14/7/2020,3.68,5.56
15/7/2020,4.50,5.56
16/7/2020,5.58,5.56
17/7/2020,3.81,5.16
18/7/2020,5.58,9.51
19/7/2020,4.68,4.96
20/7/2020,4.29,4.96
21/7/2020,5.07,5.26
22/7/2020,4.88,5.46
23/7/2020,5.85,5.66
24/7/2020,5.46,5.26
25/7/2020,5.46,5.46
26/7/2020,7.56,5.58
27/7/2020,11.76,6.03
28/7/2020,12.60,6.12
29/7/2020,9.87,5.76
30/7/2020,8.82,5.22
31/7/2020,9.03,5.49
1/8/2020,11.13,7.02
2/8/2020,6.84,6.20
3/8/2020,5.68,5.56
4/8/2020,5.16,5.16
5/8/2020,5.42,5.16
6/8/2020,5.94,5.24
7/8/2020,5.29,4.92
8/8/2020,4.52,4.92
9/8/2020,6.12,6.20
10/8/2020,7.74,6.39
11/8/2020,7.56,6.58
12/8/2020,7.02,6.39
13/8/2020,6.66,7.15
14/8/2020,6.66,7.05
15/8/2020,6.30,6.77
16/8/2020,6.12,6.82
17/8/2020,8.10,6.55
18/8/2020,7.74,6.12
19/8/2020,7.02,6.20
20/8/2020,6.48,6.03
21/8/2020,5.76,6.12
22/8/2020,5.40,6.03
23/8/2020,5.40,5.58
24/8/2020,6.56,5.49
25/8/2020,6.75,5.76
26/8/2020,5.98,5.67
27/8/2020,5.79,5.40
28/8/2020,5.59,5.22
29/8/2020,4.63,5.49
30/8/2020,5.40,6.20
31/8/2020,5.82,5.83
1/9/2020,6.85,6.20
2/9/2020,7.06,6.47
3/9/2020,7.89,6.38
4/9/2020,8.52,6.10
5/9/2020,7.27,6.01
6/9/2020,5.04,5.58
7/9/2020,5.04,5.20
8/9/2020,5.04,4.93
9/9/2020,4.73,7.43
10/9/2020,4.25,5.02
11/9/2020,3.94,4.83
12/9/2020,3.62,4.83
13/9/2020,4.68,4.96
14/9/2020,5.27,4.39
15/9/2020,5.27,4.55
16/9/2020,5.46,4.23
17/9/2020,5.07,4.31
18/9/2020,4.68,4.39
19/9/2020,4.29,4.06
20/9/2020,4.32,4.96
21/9/2020,5.30,5.14
22/9/2020,4.91,5.05
23/9/2020,4.71,4.78
24/9/2020,4.32,4.33
25/9/2020,4.52,4.33
26/9/2020,4.12,4.15
27/9/2020,3.96,4.34
28/9/2020,4.36,4.72
29/9/2020,4.36,4.82
30/9/2020,4.16,5.20
1/10/2020,4.16,4.82
2/10/2020,4.36,4.43
3/10/2020,3.96,4.53
4/10/2020,3.96,4.34
5/10/2020,4.36,4.82
6/10/2020,4.16,4.82
7/10/2020,3.96,4.14
8/10/2020,4.36,4.34
9/10/2020,4.36,4.14
10/10/2020,4.75,4.34
11/10/2020,4.32,3.72
12/10/2020,4.51,3.55
13/10/2020,4.51,3.72
14/10/2020,4.51,3.47
15/10/2020,4.51,3.63
16/10/2020,4.32,3.55
17/10/2020,3.94,3.55
18/10/2020,5.76,4.34
19/10/2020,6.58,4.54
20/10/2020,8.50,4.75
21/10/2020,13.71,6.09
22/10/2020,14.26,6.40
23/10/2020,11.52,5.06
24/10/2020,9.33,4.96
25/10/2020,6.48,4.34
26/10/2020,7.24,4.43
27/10/2020,8.39,4.98
28/10/2020,8.96,4.71
29/10/2020,7.43,4.61
30/10/2020,7.24,4.15
31/10/2020,7.43,4.43
1/11/2020,6.84,4.34
2/11/2020,7.22,4.34
3/11/2020,6.65,4.24
4/11/2020,1.71,0.28
5/11/2020,2.66,0.37
6/11/2020,3.04,0.37
7/11/2020,2.28,0.37
8/11/2020,7.20,4.96
9/11/2020,7.85,6.20
10/11/2020,6.55,6.20
11/11/2020,7.20,6.20
12/11/2020,8.51,6.20
13/11/2020,9.16,6.20
14/11/2020,7.20,6.20
15/11/2020,10.08,6.20
16/11/2020,13.10,6.20
17/11/2020,18.14,7.43
18/11/2020,22.18,7.43
19/11/2020,18.14,7.43
20/11/2020,19.15,7.43
21/11/2020,18.14,8.67
22/11/2020,11.16,8.05
23/11/2020,11.86,8.05
24/11/2020,16.04,10.36
25/11/2020,14.65,9.20
26/11/2020,16.74,9.20
27/11/2020,11.86,6.90
28/11/2020,9.77,6.90
29/11/2020,9.72,6.82
30/11/2020,13.89,7.95
1/12/2020,13.89,7.95
2/12/2020,11.11,6.82
3/12/2020,10.41,6.82
4/12/2020,10.41,6.82
5/12/2020,9.03,6.82
6/12/2020,7.56,6.20
7/12/2020,8.19,6.20
8/12/2020,8.19,6.20
9/12/2020,8.82,6.20
10/12/2020,7.56,5.16
11/12/2020,8.19,5.16
12/12/2020,6.93,6.20
13/12/2020,12.24,8.05
14/12/2020,12.24,6.71
15/12/2020,12.24,6.71
16/12/2020,24.48,9.40
17/12/2020,39.78,12.08
18/12/2020,26.52,10.74
19/12/2020,22.44,18.79
20/12/2020,12.60,8.67
21/12/2020,13.75,7.71
22/12/2020,11.45,6.75
23/12/2020,10.88,7.71
24/12/2020,9.74,6.75
25/12/2020,10.88,7.71
26/12/2020,16.04,8.67
27/12/2020,19.08,10.53
28/12/2020,14.56,10.53
29/12/2020,12.55,10.53
30/12/2020,15.06,10.53
31/12/2020,15.06,9.36
1/1/2021,14.06,10.53
2/1/2021,25.11,14.04
3/1/2021,30.60,17.35
4/1/2021,25.41,15.31
5/1/2021,20.75,14.29
6/1/2021,23.34,18.37
7/1/2021,33.19,21.43
8/1/2021,33.71,19.39
9/1/2021,26.45,17.35
10/1/2021,29.52,15.49
11/1/2021,44.87,14.71
12/1/2021,32.47,10.07
13/1/2021,28.34,9.29
14/1/2021,28.93,11.62
15/1/2021,25.39,10.07
16/1/2021,21.84,10.07
