Time,Addresses
2022-03-03,701198
2022-03-02,731603
2022-03-01,722863
2022-02-28,702483
2022-02-27,583361
2022-02-26,582374
2022-02-25,687447
2022-02-24,676575
2022-02-23,622682
2022-02-22,647191
2022-02-21,615656
2022-02-20,549160
2022-02-19,573700
2022-02-18,672505
2022-02-17,665429
2022-02-16,677777
2022-02-15,680501
2022-02-14,630477
2022-02-13,590527
2022-02-12,604018
2022-02-11,664971
2022-02-10,673697
2022-02-09,663348
2022-02-08,685310
2022-02-07,660755
2022-02-06,569036
2022-02-05,673249
2022-02-04,651781
2022-02-03,664854
2022-02-02,680004
2022-02-01,687763
2022-01-31,671364
2022-01-30,553241
2022-01-29,595231
2022-01-28,680599
2022-01-27,648622
2022-01-26,648504
2022-01-25,653685
2022-01-24,668850
2022-01-23,554355
2022-01-22,662382
2022-01-21,721363
2022-01-20,683613
2022-01-19,663454
2022-01-18,654446
2022-01-17,638947
2022-01-16,569876
2022-01-15,619262
2022-01-14,688859
2022-01-13,695923
2022-01-12,679922
2022-01-11,694475
2022-01-10,672264
2022-01-09,568134
2022-01-08,591014
2022-01-07,667941
2022-01-06,690161
2022-01-05,698013
2022-01-04,680570
2022-01-03,630932
2022-01-02,534857
2022-01-01,512154
2021-12-31,703405
2021-12-30,679386
2021-12-29,741024
2021-12-28,729388
2021-12-27,674082
2021-12-26,574433
2021-12-25,580922
2021-12-24,678663
2021-12-23,744101
2021-12-22,719298
2021-12-21,747663
2021-12-20,678671
2021-12-19,557914
2021-12-18,616818
2021-12-17,660755
2021-12-16,664445
2021-12-15,707659
2021-12-14,684529
2021-12-13,690479
2021-12-12,567489
2021-12-11,599422
2021-12-10,716381
2021-12-09,707394
2021-12-08,660440
2021-12-07,725368
2021-12-06,701524
2021-12-05,588178
2021-12-04,697287
2021-12-03,738749
2021-12-02,781370
2021-12-01,727357
2021-11-30,737531
2021-11-29,727580
2021-11-28,560812
2021-11-27,619406
2021-11-26,742035
2021-11-25,741152
2021-11-24,737069
2021-11-23,700954
2021-11-22,676350
2021-11-21,586185
2021-11-20,634393
2021-11-19,713194
2021-11-18,725020
2021-11-17,708703
2021-11-16,740829
2021-11-15,708944
2021-11-14,582647
2021-11-13,628022
2021-11-12,697196
2021-11-11,724206
2021-11-10,743397
2021-11-09,796734
2021-11-08,707131
2021-11-07,591980
2021-11-06,623103
2021-11-05,721315
2021-11-04,729141
2021-11-03,724143
2021-11-02,736296
2021-11-01,732119
2021-10-31,574308
2021-10-30,666759
2021-10-29,758210
2021-10-28,749957
2021-10-27,715873
2021-10-26,715943
2021-10-25,704167
2021-10-24,554996
2021-10-23,597144
2021-10-22,693316
2021-10-21,765389
2021-10-20,713105
2021-10-19,743673
2021-10-18,693822
2021-10-17,559522
2021-10-16,674026
2021-10-15,744869
2021-10-14,690594
2021-10-13,677323
2021-10-12,673664
2021-10-11,676676
2021-10-10,536877
2021-10-09,620238
2021-10-08,689788
2021-10-07,784172
2021-10-06,657752
2021-10-05,729159
2021-10-04,650133
2021-10-03,553275
2021-10-02,631501
2021-10-01,697433
2021-09-30,706763
2021-09-29,589252
2021-09-28,620834
2021-09-27,613346
2021-09-26,494512
2021-09-25,536442
2021-09-24,679045
2021-09-23,642773
2021-09-22,645903
2021-09-21,596757
2021-09-20,645684
2021-09-19,501580
2021-09-18,561878
2021-09-17,652602
2021-09-16,673139
2021-09-15,654103
2021-09-14,646621
2021-09-13,609049
2021-09-12,495873
2021-09-11,552535
2021-09-10,640477
2021-09-09,691292
2021-09-08,653910
2021-09-07,662890
2021-09-06,627019
2021-09-05,506792
2021-09-04,574763
2021-09-03,686568
2021-09-02,714181
