Time,Bitcoin_SVI,Cryptocurrecy_SVI
2022-03-03,13.84,24.08
2022-03-02,15.61,26.33
2022-03-01,17.67,29.34
2022-02-28,16.2,24.83
2022-02-27,12.96,21.07
2022-02-26,14.37,16.17
2022-02-25,18.61,19.52
2022-02-24,27.43,23.42
2022-02-23,14.37,20.07
2022-02-22,16.98,22.86
2022-02-21,15.35,21.19
2022-02-20,14.04,22.3
2022-02-19,11.4,20.63
2022-02-18,12.9,21.78
2022-02-17,12.6,22.92
2022-02-16,12,22.92
2022-02-15,12.9,24.07
2022-02-14,12.6,22.92
2022-02-13,10.8,22.92
2022-02-12,11.43,24.78
2022-02-11,12.89,26.64
2022-02-10,14.07,29.12
2022-02-09,14.65,28.5
2022-02-08,14.94,29.74
2022-02-07,15.82,30.98
2022-02-06,12.6,26.64
2022-02-05,14.98,29.18
2022-02-04,14.4,27.23
2022-02-03,13.82,27.88
2022-02-02,13.54,30.47
2022-02-01,14.11,35.01
2022-01-31,13.82,27.88
2022-01-30,12.96,27.88
2022-01-29,11.84,24.84
2022-01-28,13.81,25.39
2022-01-27,14.79,25.94
2022-01-26,16.52,29.25
2022-01-25,17.75,27.6
2022-01-24,23.67,33.12
2022-01-23,18,30.36
2022-01-22,37.95,60.89
2022-01-21,29.98,51.69
2022-01-20,15.56,36.11
2022-01-19,15.18,33.99
2022-01-18,16.32,36.11
2022-01-17,15.18,36.82
2022-01-16,14.04,34.7
2022-01-15,9.4,27
2022-01-14,11.18,27
2022-01-13,11.69,29.3
2022-01-12,12.71,30.45
2022-01-11,13.47,29.3
2022-01-10,14.23,29.87
2022-01-09,12.96,31.6
2022-01-08,19.1,35.35
2022-01-07,22.17,36.61
2022-01-06,22.51,41.03
2022-01-05,15.01,35.35
2022-01-04,13.64,33.46
2022-01-03,13.98,34.09
2022-01-02,12.96,33.46
2022-01-01,10.6,25.88
2021-12-31,11.16,23.68
2021-12-30,12,28.09
2021-12-29,12,28.09
2021-12-28,12.28,31.39
2021-12-27,11.72,30.29
2021-12-26,11.16,29.74
2021-12-25,12.43,33.68
2021-12-24,13.64,33.68
2021-12-23,13.04,32.39
2021-12-22,13.04,31.74
2021-12-21,13.34,29.15
2021-12-20,13.34,29.15
2021-12-19,11.52,28.5
2021-12-18,11.67,27.88
2021-12-17,12.52,29.74
2021-12-16,12.81,29.12
2021-12-15,14.23,33.46
2021-12-14,15.37,35.32
2021-12-13,14.8,32.22
2021-12-12,12.24,29.74
2021-12-11,9.11,25.84
2021-12-10,10.16,28.53
2021-12-09,10.59,29.61
2021-12-08,10.59,30.15
2021-12-07,11.86,30.68
2021-12-06,13.98,33.38
2021-12-05,14.4,32.84
2021-12-04,29.74,62.01
2021-12-03,13.01,38.99
2021-12-02,12.7,39.63
2021-12-01,13.32,40.27
2021-11-30,14.87,44.75
2021-11-29,14.25,43.47
2021-11-28,13.32,40.27
2021-11-27,14.58,39.03
2021-11-26,18.14,44.61
2021-11-25,14.26,47.71
2021-11-24,16.2,58.24
2021-11-23,16.52,48.95
2021-11-22,15.23,41.51
2021-11-21,12.96,44.61
2021-11-20,13.02,39.73
2021-11-19,16.28,38.55
2021-11-18,15.98,45.07
2021-11-17,15.39,43.88
2021-11-16,17.46,45.66
2021-11-15,13.62,39.73
2021-11-14,13.02,41.51
2021-11-13,15.48,39.14
2021-11-12,16.92,39.14
2021-11-11,18,39.73
2021-11-10,20.88,46.85
2021-11-09,21.96,45.66
2021-11-08,19.44,43.29
2021-11-07,13.32,41.51
2021-11-06,9.8,41.68
2021-11-05,11.16,43.49
2021-11-04,11.98,47.12
2021-11-03,11.7,48.33
2021-11-02,12.52,60.41
2021-11-01,11.7,56.18
2021-10-31,11.16,48.33
2021-10-30,11.66,67.25
2021-10-29,13.6,66.44
2021-10-28,14.71,72.11
2021-10-27,16.65,72.11
2021-10-26,15.54,50.23
2021-10-25,14.71,42.94
2021-10-24,12.49,42.13
2021-10-23,16.92,28.64
2021-10-22,21.86,29.97
2021-10-21,26.79,32.64
2021-10-20,29.61,31.3
2021-10-19,23.62,28.64
2021-10-18,20.09,27.97
2021-10-17,16.92,26.64
2021-10-16,20.15,28.08
2021-10-15,22.2,29.41
2021-10-14,16.05,27.41
2021-10-13,15.03,26.07
2021-10-12,16.39,28.74
2021-10-11,17.08,30.08
2021-10-10,13.32,25.4
2021-10-09,13.58,34.42
2021-10-08,15.61,36.09
2021-10-07,16.97,42.81
2021-10-06,20.03,41.13
2021-10-05,15.61,33.58
2021-10-04,13.58,29.38
2021-10-03,11.88,26.02
2021-10-02,10.08,18.59
2021-10-01,11.94,19.83
2021-09-30,9.28,17.35
2021-09-29,9.81,17.97
2021-09-28,9.81,19.21
2021-09-27,9.81,19.83
2021-09-26,10.08,19.21
2021-09-25,17.03,23.66
2021-09-24,22.97,31.06
2021-09-23,15.84,24.4
2021-09-22,17.82,25.14
2021-09-21,19.8,28.1
2021-09-20,19.01,31.06
2021-09-19,11.88,22.92
2021-09-18,8.91,19.28
2021-09-17,9.45,21.08
2021-09-16,10.26,22.29
2021-09-15,10.26,21.08
2021-09-14,10.26,21.08
2021-09-13,11.34,22.89
2021-09-12,9.72,21.68
2021-09-11,14.05,22.77
2021-09-10,16.27,24.72
2021-09-09,18.12,27.97
2021-09-08,24.77,30.58
2021-09-07,26.99,40.98
2021-09-06,15.9,29.27
2021-09-05,13.68,26.02
2021-09-04,10.08,27.47
2021-09-03,11.48,26.81
2021-09-02,11.2,26.81
2021-09-01,10.08,24.85
2021-08-31,10.92,24.85
2021-08-30,10.36,24.2
2021-08-29,10.08,23.54
2021-08-28,10.22,22.3
2021-08-27,10.77,22.3
2021-08-26,11.88,22.92
2021-08-25,12.43,24.16
2021-08-24,13.26,26.64
2021-08-23,14.64,27.26
2021-08-22,11.88,23.54
2021-08-21,11.52,22.92
2021-08-20,12.04,25.4
2021-08-19,10.73,22.3
2021-08-18,11.26,21.68
2021-08-17,11.52,24.16
2021-08-16,12.04,24.16
2021-08-15,11.52,22.92
2021-08-14,12.23,23.6
2021-08-13,12.78,23.6
2021-08-12,13.86,24.24
2021-08-11,14.41,26.79
2021-08-10,13.86,23.6
2021-08-09,14.41,21.05
2021-08-08,13.32,21.68
2021-08-07,12.98,22.49
2021-08-06,11.42,18.63
2021-08-05,10.38,20.56
2021-08-04,10.38,16.06
2021-08-03,10.64,14.14
2021-08-02,11.42,15.42
2021-08-01,11.16,17.35
2021-07-31,15.38,21.09
2021-07-30,15.04,20.31
2021-07-29,15.38,20.31
2021-07-28,17.72,21.87
2021-07-27,18.05,21.87
2021-07-26,25.41,29.69
2021-07-25,14.04,17.97
2021-07-24,14.35,19.12
2021-07-23,14,16.73
2021-07-22,16.45,17.52
2021-07-21,18.55,19.12
2021-07-20,19.95,23.1
2021-07-19,15.75,19.12
2021-07-18,12.6,16.73
2021-07-17,10.74,15.49
2021-07-16,11.93,16.23
2021-07-15,11.63,18.44
2021-07-14,11.93,19.18
2021-07-13,11.33,18.44
2021-07-12,11.04,17.7
2021-07-11,10.44,15.49
2021-07-10,7.89,12.08
2021-07-09,9.05,13.23
2021-07-08,9.74,14.96
2021-07-07,8.82,14.38
2021-07-06,9.51,15.53
2021-07-05,10.21,16.11
2021-07-04,10.44,16.11
2021-07-03,10.71,14.46
2021-07-02,11.27,14.46
2021-07-01,11.27,16.38
2021-06-30,12.4,17.35
2021-06-29,14.09,18.31
2021-06-28,14.09,18.31
2021-06-27,12.96,17.35
2021-06-26,19.64,19.8
2021-06-25,20.42,20.84
2021-06-24,21.21,20.84
2021-06-23,25.13,21.88
2021-06-22,33.77,34.39
2021-06-21,25.92,29.18
2021-06-20,17.28,22.92
2021-06-19,12.4,20.7
2021-06-18,12.99,20.7
2021-06-17,13.58,21.68
2021-06-16,14.17,21.68
2021-06-15,15.35,21.68
2021-06-14,18.89,22.67
2021-06-13,14.76,21.68
2021-06-12,14.31,21.11
2021-06-11,17.29,21.11
2021-06-10,19.68,22.95
2021-06-09,22.06,22.95
2021-06-08,24.45,29.37
2021-06-07,17.89,25.7
2021-06-06,19.08,24.78
2021-06-05,17.02,25.5
2021-06-04,19.29,25.5
2021-06-03,17.02,26.38
2021-06-02,17.02,26.38
2021-06-01,17.59,25.5
2021-05-31,18.15,24.62
2021-05-30,18.72,27.26
2021-05-29,14.46,22.52
2021-05-28,14.46,22.52
2021-05-27,14.46,23.18
2021-05-26,16.11,25.83
2021-05-25,18.59,27.15
2021-05-24,23.13,29.8
2021-05-23,25.2,38.41
2021-05-22,51,47
2021-05-21,60,51
2021-05-20,79,61
2021-05-19,100,100
2021-05-18,40,50
2021-05-17,53,53
2021-05-16,36,57
2021-05-15,25.96,51.34
2021-05-14,33.04,52.22
2021-05-13,53.49,62.84
2021-05-12,22.03,57.53
2021-05-11,21.24,60.19
2021-05-10,22.03,61.96
2021-05-09,21.24,61.96
2021-05-08,16.47,93.12
2021-05-07,16.47,80.61
2021-05-06,17.11,84.78
2021-05-05,17.74,83.39
2021-05-04,17.74,72.27
2021-05-03,17.74,59.76
2021-05-02,15.84,51.42
2021-05-01,14.58,33.78
2021-04-30,14.58,31.96
2021-04-29,15.12,30.13
2021-04-28,16.74,32.87
2021-04-27,17.82,33.78
2021-04-26,19.98,33.78
2021-04-25,18.36,34.7
2021-04-24,17.75,29.82
2021-04-23,25.49,44.73
2021-04-22,16.38,37.67
2021-04-21,14.11,36.88
2021-04-20,17.29,43.16
2021-04-19,19.57,40.81
2021-04-18,24.12,47.09
2021-04-17,21.28,66.91
2021-04-16,26.42,73.11
2021-04-15,24.22,48.33
2021-04-14,29.35,50.8
2021-04-13,26.42,43.37
2021-04-12,19.81,35.93
2021-04-11,19.08,39.65
2021-04-10,15.94,28.84
2021-04-09,12.99,24.03
2021-04-08,14.17,25.96
2021-04-07,14.76,27.88
2021-04-06,15.35,30.76
2021-04-05,15.94,30.76
2021-04-04,14.76,27.88
2021-04-03,17.22,31.85
2021-04-02,18.55,29.65
2021-04-01,20.53,27.46
2021-03-31,19.21,26.36
2021-03-30,19.87,26.36
2021-03-29,18.55,24.16
2021-03-28,16.56,24.16
2021-03-27,16.92,18.67
2021-03-26,17.55,16.89
2021-03-25,21.93,18.67
2021-03-24,20.05,18.67
2021-03-23,17.55,18.67
2021-03-22,18.17,21.33
2021-03-21,16.92,20.45
2021-03-20,12.48,19.65
2021-03-19,13.92,18.01
2021-03-18,14.88,19.65
2021-03-17,15.36,19.65
2021-03-16,16.32,20.47
2021-03-15,16.32,21.29
2021-03-14,18.72,22.92
2021-03-13,28.97,30.67
2021-03-12,21.91,24.99
2021-03-11,22.61,23.85
2021-03-10,24.03,22.72
2021-03-09,25.44,24.99
2021-03-08,20.49,20.45
2021-03-07,19.08,20.45
2021-03-06,12.87,13.07
2021-03-05,14.36,13.07
2021-03-04,15.35,15.52
2021-03-03,16.34,15.52
2021-03-02,16.83,15.52
2021-03-01,18.81,16.33
2021-02-28,19.8,17.97
2021-02-27,21.09,17.46
2021-02-26,26.51,15.88
2021-02-25,25.3,17.46
2021-02-24,31.93,18.26
2021-02-23,42.17,25.4
2021-02-22,33.74,24.61
2021-02-21,29.52,25.4
2021-02-20,37.06,33.07
2021-02-19,33.02,27.56
2021-02-18,29.65,23.89
2021-02-17,33.69,23.89
2021-02-16,28.98,22.97
2021-02-15,26.28,24.8
2021-02-14,26.28,26.64
2021-02-13,34.65,35.84
2021-02-12,41.58,34.72
2021-02-11,43.56,34.72
2021-02-10,47.52,34.72
2021-02-09,71.28,36.96
2021-02-08,59.4,33.6
2021-02-07,27.72,29.12
2021-02-06,17.54,22.59
2021-02-05,14.71,22.59
2021-02-04,15.84,22.59
2021-02-03,15.27,18.07
2021-02-02,14.14,17.17
2021-02-01,15.27,19.88
2021-01-31,15.84,21.68
2021-01-30,21.71,41.82
2021-01-29,31.21,60.22
2021-01-28,19,25.09
2021-01-27,19,16.73
2021-01-26,16.96,16.73
2021-01-25,19,18.4
2021-01-24,17.64,16.73
2021-01-23,16.77,10.01
2021-01-22,22.55,11.01
2021-01-21,20.81,12.01
2021-01-20,16.77,11.01
2021-01-19,17.92,14.01
2021-01-18,17.92,11.01
2021-01-17,19.08,13.01
2021-01-16,21.84,10.07
2021-01-15,25.39,10.07
2021-01-14,28.93,11.62
2021-01-13,28.34,9.29
2021-01-12,32.47,10.07
2021-01-11,44.87,14.71
2021-01-10,29.52,15.49
2021-01-09,26.45,17.35
2021-01-08,33.71,19.39
2021-01-07,33.19,21.43
2021-01-06,23.34,18.37
2021-01-05,20.75,14.29
2021-01-04,25.41,15.31
2021-01-03,30.6,17.35
2021-01-02,25.11,14.04
2021-01-01,14.06,10.53
2020-12-31,15.06,9.36
2020-12-30,15.06,10.53
2020-12-29,12.55,10.53
2020-12-28,14.56,10.53
2020-12-27,19.08,10.53
2020-12-26,16.04,8.67
2020-12-25,10.88,7.71
2020-12-24,9.74,6.75
2020-12-23,10.88,7.71
2020-12-22,11.45,6.75
2020-12-21,13.75,7.71
2020-12-20,12.6,8.67
2020-12-19,22.44,18.79
2020-12-18,26.52,10.74
2020-12-17,39.78,12.08
2020-12-16,24.48,9.4
2020-12-15,12.24,6.71
2020-12-14,12.24,6.71
2020-12-13,12.24,8.05
2020-12-12,6.93,6.2
2020-12-11,8.19,5.16
2020-12-10,7.56,5.16
2020-12-09,8.82,6.2
2020-12-08,8.19,6.2
2020-12-07,8.19,6.2
2020-12-06,7.56,6.2
2020-12-05,9.03,6.82
2020-12-04,10.41,6.82
2020-12-03,10.41,6.82
2020-12-02,11.11,6.82
2020-12-01,13.89,7.95
2020-11-30,13.89,7.95
2020-11-29,9.72,6.82
2020-11-28,9.77,6.9
2020-11-27,11.86,6.9
2020-11-26,16.74,9.2
2020-11-25,14.65,9.2
2020-11-24,16.04,10.36
2020-11-23,11.86,8.05
2020-11-22,11.16,8.05
2020-11-21,18.14,8.67
2020-11-20,19.15,7.43
2020-11-19,18.14,7.43
2020-11-18,22.18,7.43
2020-11-17,18.14,7.43
2020-11-16,13.1,6.2
2020-11-15,10.08,6.2
2020-11-14,7.2,6.2
2020-11-13,9.16,6.2
2020-11-12,8.51,6.2
2020-11-11,7.2,6.2
2020-11-10,6.55,6.2
2020-11-09,7.85,6.2
2020-11-08,7.2,4.96
2020-11-07,2.28,0.37
2020-11-06,3.04,0.37
2020-11-05,2.66,0.37
2020-11-04,1.71,0.28
2020-11-03,6.65,4.24
2020-11-02,7.22,4.34
2020-11-01,6.84,4.34
2020-10-31,7.43,4.43
2020-10-30,7.24,4.15
2020-10-29,7.43,4.61
2020-10-28,8.96,4.71
2020-10-27,8.39,4.98
2020-10-26,7.24,4.43
2020-10-25,6.48,4.34
2020-10-24,9.33,4.96
2020-10-23,11.52,5.06
2020-10-22,14.26,6.4
2020-10-21,13.71,6.09
2020-10-20,8.5,4.75
2020-10-19,6.58,4.54
2020-10-18,5.76,4.34
2020-10-17,3.94,3.55
2020-10-16,4.32,3.55
2020-10-15,4.51,3.63
2020-10-14,4.51,3.47
2020-10-13,4.51,3.72
2020-10-12,4.51,3.55
2020-10-11,4.32,3.72
2020-10-10,4.75,4.34
2020-10-09,4.36,4.14
2020-10-08,4.36,4.34
2020-10-07,3.96,4.14
2020-10-06,4.16,4.82
2020-10-05,4.36,4.82
2020-10-04,3.96,4.34
2020-10-03,3.96,4.53
2020-10-02,4.36,4.43
2020-10-01,4.16,4.82
2020-09-30,4.16,5.2
2020-09-29,4.36,4.82
2020-09-28,4.36,4.72
2020-09-27,3.96,4.34
2020-09-26,4.12,4.15
2020-09-25,4.52,4.33
2020-09-24,4.32,4.33
2020-09-23,4.71,4.78
2020-09-22,4.91,5.05
2020-09-21,5.3,5.14
2020-09-20,4.32,4.96
2020-09-19,4.29,4.06
2020-09-18,4.68,4.39
2020-09-17,5.07,4.31
2020-09-16,5.46,4.23
2020-09-15,5.27,4.55
2020-09-14,5.27,4.39
2020-09-13,4.68,4.96
2020-09-12,3.62,4.83
2020-09-11,3.94,4.83
2020-09-10,4.25,5.02
2020-09-09,4.73,7.43
2020-09-08,5.04,4.93
2020-09-07,5.04,5.2
2020-09-06,5.04,5.58
2020-09-05,7.27,6.01
2020-09-04,8.52,6.1
2020-09-03,7.89,6.38
2020-09-02,7.06,6.47
2020-09-01,6.85,6.2
2020-08-31,5.82,5.83
2020-08-30,5.4,6.2
2020-08-29,4.63,5.49
2020-08-28,5.59,5.22
2020-08-27,5.79,5.4
2020-08-26,5.98,5.67
2020-08-25,6.75,5.76
2020-08-24,6.56,5.49
2020-08-23,5.4,5.58
2020-08-22,5.4,6.03
2020-08-21,5.76,6.12
2020-08-20,6.48,6.03
2020-08-19,7.02,6.2
2020-08-18,7.74,6.12
2020-08-17,8.1,6.55
2020-08-16,6.12,6.82
2020-08-15,6.3,6.77
2020-08-14,6.66,7.05
2020-08-13,6.66,7.15
2020-08-12,7.02,6.39
2020-08-11,7.56,6.58
2020-08-10,7.74,6.39
