Time,Favorites,Retweets,Text,Clean Tweet,Compound,Negative,Positive,Neutral
2022-03-03,3139,466,U.S. senator Ted Cruz: Texas should be ground zero for the #Bitcoin and crypto industry worldwide 🇺🇸 https://t.co/rz3tBYRWfH,U.S. senator Ted Cruz: Texas should be ground zero for the   and crypto industry worldwide  ,0.0,0.0,0.0,1.0
2022-03-03,125,16,"CleanSpark announced their #bitcoin production for 2022, producing 581 BTC, and an investment in sustainable mining Norcross facility.

@Fall_Of_Fiat covers the news:

https://t.co/XnWOoJRdrx","CleanSpark announced their   production for , producing  BTC, and an investment in sustainable mining Norcross facil y.  _Of_Fiat covers the news:  ",0.0,0.0,0.0,1.0
2022-03-03,2070,228,"NEW: #Bitcoin miner CleanSpark produced 276 BTC worth more than $11,986,000 in February 👏","NEW:   miner CleanSpark produced  BTC worth more than $,, in February ",0.2263,0.0,0.16,0.84
2022-03-03,48,12,"“The first phase was morphing GoFundMe to use crypto instead of fiat. The second was using unique properties of cryptosystems to increase donations. And it worked.”

@NLW dives into Ukraine’s announcement, then cancellation, of an airdrop.

https://t.co/B4wnWSqLKJ","“  first phase was morphing GoFundMe to use crypto instead of fiat.   second was using unique properties of cryptosystems to increase donations. And   worked.”   dives into Ukraine’s announcement, then cancellation, of an airdrop.  ",0.3182,0.0,0.069,0.931
2022-03-03,60,16,"The stablecoin supply ratio has risen over the past week alongside crypto prices. But questions arise about if traders will choose to hodl and how price shifts are affected. 

@christinenews explains the data on Chart of the Day, presented by @cryptocom: https://t.co/OAvHe7urgT https://t.co/IOAywnLmya","  stablecoin supply ratio has risen over the past week alongside crypto prices. But questions arise about if traders will choose to hodl and how price shifts are affected.    explains the data on Chart of the Day, presented by :  ",-0.2263,0.049,0.0,0.951
2022-03-03,64,24,"There's a growing trend of exclusive crypto social clubs that require NFT ownership as ""keys"" for entry.

""The ones that work could be ... ways to organize communities on the internet,"" Zack Seward says on ""The Hash.""
 
Presented by @turbotax: https://t.co/N1v0nOb6nX https://t.co/qzn83GlQTH"," re's a growing trend of exclusive crypto social clubs that require NFT ownership as ""keys"" for entry.  ""  ones that work could be ... ways to organize commun ies on the internet,"" Zack Seward says on ""  Hash.""   Presented by :  ",0.296,0.0,0.084,0.916
2022-03-03,68,21,"Calls to “crack down” on crypto are imprecise. What would a “crackdown” look like beyond the rules to increase surveillance and compliance already being enforced or discussed today? 

@danielgkuhn writes for The Node newsletter.
https://t.co/hVBGsE1LGx",Calls to “crack down” on crypto are imprecise. What would a “crackdown” look like beyond the rules to increase surveillance and compliance already being enforced or discussed today?    wr es for   Node newsletter. ,0.5859,0.0,0.138,0.862
2022-03-03,60,22,"“It’s the first step in the crawl, walk, run.” 

Here’s why @CharlesSchwab is preparing to offer its first in-house crypto product.

@realDannyNelson reports

https://t.co/SC98P2OK8b","“ ’s the first step in the crawl, walk, run.”   Here’s why  is preparing to offer  s first in-house crypto product.   reports  ",0.0,0.0,0.0,1.0
2022-03-03,80,20,"MARKET WRAP: Bitcoin $BTC and other cryptos traded lower as geopolitical risks linger. But some analysts remain optimistic.
https://t.co/XumW1LMLSI",MARKET WRAP: B coin $BTC and other cryptos traded lower as geopol ical risks linger. But some analysts remain optimistic. ,0.2023,0.143,0.133,0.724
2022-03-03,88,40,"The Russia-Ukraine conflict has sent crude oil to over $115 a barrel. Here's what the latest surge might mean for the bitcoin market. @brillhouse reports
https://t.co/qiufpIBh3T",  Russia-Ukraine conflict has sent crude oil to over $ a barrel. Here's what the latest surge might mean for the b coin market.  reports ,-0.7184,0.24,0.0,0.76
2022-03-03,42,17,"LIVE: A look at the Russia-Ukraine conflict's impact on crypto markets. Plus, a discussion on weaponized finance in war time.

@OpimasLLC's @OmMarenzi and @hosseeb of @dragonfly_cap join ""All About Bitcoin.""

Watch on https://t.co/yHMYaDgYoY: https://t.co/FNgcG0tsIm","LIVE: A look at the Russia-Ukraine conflict's impact on crypto markets. Plus, a discussion on weaponized finance in war time.  's  and  of _cap join ""All About B coin.""  Watch on  ",-0.4019,0.121,0.069,0.81
2022-03-03,113,41,"The Central Bank of Brazil has selected nine partners to assist in the creation of a Digital Real, including local crypto exchange @MercadoBitcoin and DeFi protocol @AaveAave.
@RodrigoTolotti reports for @CoinDeskBrasil 
https://t.co/SUJWITde0P","  Central Bank of Brazil has selected nine partners to assist in the creation of a Dig al Real, including local crypto exchange  and DeFi protocol .  reports for   ",0.2732,0.0,0.077,0.923
2022-03-03,77,28,"OpenSea users in Iran say their accounts were deactivated with no notice on Thursday as lawmakers express concern about the crypto industry's compliance with international sanctions.

@elitanjourno reports

https://t.co/aPNe6BfIbG",OpenSea users in Iran say their accounts were deactivated w h no notice on Thursday as lawmakers express concern about the crypto industry's compliance w h international sanctions.   reports  ,-0.296,0.084,0.0,0.916
2022-03-03,41,15,"Ruble and hryvnia-denominated crypto trade volumes are surging, according to @Chainalysis data.

It's probably ""every day Russians that are trying to preserve ... their household wealth,"" @salmanbanaei says. 

Watch the Spotlight, presented by @Nexo: https://t.co/odrAVDohCG https://t.co/TYVJ6hy0ar","Ruble and hryvnia-denominated crypto trade volumes are surging, according to  data.   's probably ""every day Russians that are trying to preserve ... their household wealth,""  says.   Watch the Spotlight, presented by :  ",0.0,0.0,0.0,1.0
2022-03-03,80,36,"NEW: ConsenSys-owned MetaMask and Infura said Thursday that the key Ethereum services are ""unavailable in certain jurisdictions due to legal compliance"" as talk of crypto and sanctions evasion ramps up.

@realDannyNelson reports

https://t.co/1dq6uwW56F","NEW: ConsenSys-owned MetaMask and Infura said Thursday that the key Ethereum services are ""unavailable in certain jurisdictions due to legal compliance"" as talk of crypto and sanctions evasion ramps up.   reports  ",0.3818,0.0,0.11,0.89
2022-03-03,64,27,"Is $BTC's ""correctional"" phase coming to an end?

“It would seem to me that if technology has found a bottom, that it could be a tailwind for crypto,” @Mkts_Compass CEO Timothy Brackett says.

Watch the markets update, presented by @kucoincom: https://t.co/KT4YjItmF9 https://t.co/CO0M6yVMG5","Is $BTC's ""correctional"" phase coming to an end?  “  would seem to me that if technology has found a bottom, that   could be a tailwind for crypto,” _Compass CEO Timothy Brackett says.  Watch the markets update, presented by :  ",0.0,0.0,0.0,1.0
2022-03-03,56,20,"Fed Chair Jerome Powell said Wednesday that Russia’s invasion of Ukraine emphasizes a need for cryptocurrency regulation in the U.S. 

What should this look like? 

Comment on #TikTok: 
https://t.co/Wt4RqteU6N",Fed Chair Jerome Powell said Wednesday that Russia’s invasion of Ukraine emphasizes a need for cryptocurrency regulation in the U.S.   What should this look like?   Comment on  :  ,0.3612,0.0,0.091,0.909
2022-03-03,80,24,"There’s every reason to believe cryptocurrencies belong in retirement accounts, @NJChrisRobbins writes, but why aren’t there more alternative investment options in retirement accounts in the first place?
 
From this week’s Crypto for Advisors newsletter:
https://t.co/PRdGSDeHsk"," re’s every reason to believe cryptocurrencies belong in retirement accounts,  wr es, but why aren’t there more alternative investment options in retirement accounts in the first place?   From this week’s Crypto for Advisors newsletter: ",0.0,0.0,0.0,1.0
2022-03-03,67,24,"Foundry Digital ( @FoundryServices) joins crypto industry lobbying group Blockchain Association ( @BlockchainAssn). 

@Aoyon_A reports.

https://t.co/c1JJZtlUBo",Foundry Dig al ( ) joins crypto industry lobbying group Blockchain Association ( ).   _A reports.  ,-0.0772,0.098,0.0,0.902
