Time,Favorites,Retweets,Compound,Negative,Positive,Neutral,Open,High,Low,Close,Volume,Funding Rate 0000,Funding Rate 0800,Funding Rate 1600,Bitcoin_SVI,Cryptocurrency_SVI,No. of Active Addresses,No. of Unique Addresses,Transactions
20220303.0,443.2692307692308,79.57692307692308,0.10932692307692307,0.03626923076923077,0.06373076923076923,0.8999999999999999,43896.8,44088.0,41832.0,42456.3,324545814.8,0.01,0.01,0.01,13.84,24.08,1011448.0,701198.0,268244.0
20220302.0,534.2,90.36666666666666,0.06843666666666667,0.0371,0.06896666666666666,0.8939666666666667,44428.2,45367.5,43332.8,43896.9,340460526.5,0.0,0.0,0.01,15.61,26.33,1091796.0,731603.0,288657.0
20220301.0,353.51428571428573,61.02857142857143,0.006328571428571434,0.06271428571428572,0.0702,0.8671142857142857,43174.8,44966.0,42796.9,44428.2,444858241.2,-0.01,0.01,0.01,17.67,29.34,1065354.0,722863.0,280634.0
20220228.0,332.3333333333333,61.861111111111114,0.13538333333333333,0.03380555555555556,0.07330555555555557,0.8928611111111111,37706.7,44210.4,37446.5,43179.8,564121052.5,0.0,-0.02,-0.01,16.2,24.83,981066.0,702483.0,270918.0
20220227.0,128.0,30.0,0.10686666666666668,0.02266666666666667,0.055,0.9223333333333333,39117.3,39864.0,36977.4,37706.7,388368905.7,0.01,0.01,0.0,12.96,21.07,768705.0,583361.0,211164.0
20220226.0,863.8,178.6,0.13104,0.06999999999999999,0.08499999999999999,0.845,39219.6,40300.0,38560.3,39119.1,306410979.9,0.0,0.01,0.01,14.37,16.17,818914.0,582374.0,220423.0
20220225.0,453.1,83.85,0.13679999999999998,0.04195,0.0794,0.87865,38320.9,39695.0,38015.0,39219.6,386047125.7,-0.01,0.01,0.01,18.61,19.52,936543.0,687447.0,260340.0
20220224.0,69.95833333333333,22.375,-0.021020833333333332,0.0743125,0.06927083333333332,0.856375,37248.2,39823.3,34325.0,38320.9,680985023.6,0.0,0.01,-0.02,27.43,23.42,958866.0,676575.0,254139.0
20220223.0,59.8,19.485714285714284,0.03383428571428572,0.05117142857142857,0.05362857142857143,0.8952,38229.6,39285.2,37046.8,37248.1,331098529.4,0.0,0.0,-0.01,14.37,20.07,859810.0,622682.0,251275.0
20220222.0,193.05882352941177,36.411764705882355,0.18590588235294117,0.045647058823529416,0.08658823529411765,0.8677058823529411,37020.5,38448.4,36333.1,38229.6,324319840.5,0.0,-0.01,0.0,16.98,22.86,886571.0,647191.0,260265.0
20220221.0,818.75,71.5,0.166775,0.02325,0.12075000000000001,0.856,38380.0,39500.0,36800.0,37025.7,389078244.9,-0.01,0.01,0.0,15.35,21.19,886316.0,615656.0,237402.0
20220220.0,13.0,1.0,0.3506,0.032,0.102,0.866,40086.7,40125.2,37979.3,38380.0,250940407.5,0.01,0.0,0.01,14.04,22.3,741534.0,549160.0,200535.0
