Time,Compound,Close,Volume,FundingRate,Bitcoin_SVI,Cryptocurrency_SVI,No. of Active Addresses,No. of Unique Addresses,Transactions,Close_mean,Close_std
2020-03-04 00:00:00,0.33916,8750.7,12219240.24,0.01,8.64,4.34,857423,625096.0,358745.0,,
2020-03-05 00:00:00,0.33916,9056.9,15218448.72,0.016666666666666666,9.26,3.76,793221,603996.0,349529.0,8750.7,
2020-03-06 00:00:00,0.33916,9134.3,8833554.543,0.02,8.95,3.33,804945,601698.0,338383.0,8903.8,216.51609639932073
2020-03-07 00:00:00,0.33916,8889.9,7525135.261,0.036666666666666674,7.1,3.04,682432,526880.0,313312.0,8980.633333333333,202.85387187168314
2020-03-08 00:00:00,0.33916,8036.5,14397155.01,0.043333333333333335,8.02,4.34,654911,501571.0,302694.0,9027.033333333333,124.90737901874952
2020-03-09 00:00:00,0.33916,7931.3,20704818.48,0.02,16.05,5.16,809850,606002.0,348211.0,8686.9,576.366168333985
2020-03-10 00:00:00,0.33916,7895.3,13650591.37,0.01,12.34,4.44,807778,601526.0,329698.0,8285.9,525.7173765437095
2020-03-11 00:00:00,0.33916,7933.2,11450174.16,0.01,10.49,4.23,728889,528053.0,287492.0,7954.366666666666,73.37174751452756
2020-03-12 00:00:00,0.0772,4802.9,55248355.79,0.013333333333333334,22.83,6.2,909601,653156.0,349978.0,7919.933333333333,21.35423455279486
2020-03-13 00:00:00,0.33916,5576.3,64233445.37,-0.11333333333333334,30.86,6.71,786409,,276798.0,6877.133333333334,1796.4387112655256
2020-03-14 00:00:00,0.33916,5175.8,20500724.76,-0.05333333333333334,20.06,5.06,772769,517382.0,279828.0,6104.133333333334,1630.5368880627466
2020-03-15 00:00:00,0.33916,5359.7,16138877.74,-0.05000000000000001,9.36,3.72,629326,413935.0,223230.0,5185.0,386.78207042211426
2020-03-16 00:00:00,0.33916,5027.3,26797090.85,-0.04,12.25,3.8,725120,532450.0,270399.0,5370.6,200.47236717317466
2020-03-17 00:00:00,0.4019,5316.7,18269210.08,-0.03666666666666667,10.21,3.39,765477,540902.0,278326.0,5187.599999999999,166.51387329594294
2020-03-18 00:00:00,0.33916,5394.8,17940239.5,-0.02,9.53,3.31,633373,476482.0,231254.0,5234.566666666667,180.7812305892133
2020-03-19 00:00:00,0.33916,6162.2,26041132.77,-0.023333333333333334,10.21,3.88,709786,525607.0,265689.0,5246.266666666666,193.60966745839502
2020-03-20 00:00:00,0.4767,6204.4,37752569.82,-0.016666666666666666,10.04,3.56,734614,564748.0,284594.0,5624.566666666667,467.23880760628964
2020-03-21 00:00:00,0.33916,6191.1,25145709.57,0.006666666666666667,8.68,3.39,637554,469859.0,245896.0,5920.466666666667,455.7294080189965
2020-03-22 00:00:00,0.33916,5815.8,22804757.3,0.0,6.84,3.72,579901,409829.0,209154.0,6185.900000000001,21.57521726449299
2020-03-23 00:00:00,0.33916,6469.0,25242917.54,-0.013333333333333334,7.62,3.62,667486,509038.0,259816.0,6070.433333333333,220.61918169856457
2020-03-24 00:00:00,0.33916,6746.4,24105486.68,0.01,7.62,4.09,736233,528586.0,278131.0,6158.633333333334,327.8080586766341
2020-03-25 00:00:00,0.33916,6673.0,20429947.63,0.01,6.68,3.72,587460,456328.0,218176.0,6343.733333333334,477.779126096298
2020-03-26 00:00:00,0.33916,6733.2,14921480.05,0.006666666666666667,6.22,3.62,889704,539881.0,292828.0,6629.466666666667,143.73257575560504
2020-03-27 00:00:00,0.33916,6358.0,15953502.97,0.006666666666666667,5.91,3.53,807651,529197.0,276546.0,6717.533333333333,39.127654329646866
2020-03-28 00:00:00,0.33916,6242.4,19448682.98,-0.016666666666666666,6.06,3.9,627230,469113.0,240627.0,6588.066666666666,201.50437546946955
2020-03-29 00:00:00,0.33916,5881.2,12049077.53,-0.023333333333333334,5.76,3.72,591287,428425.0,232820.0,6444.533333333333,256.5875549073682
2020-03-30 00:00:00,0.0803,6394.9,17904828.4,-0.04,5.92,3.63,770915,535787.0,276828.0,6160.533333333333,248.71906507813813
2020-03-31 00:00:00,0.6597,6409.7,13159710.94,-0.013333333333333334,5.45,3.54,816889,546702.0,290227.0,6172.833333333333,263.82108204869246
2020-04-01 00:00:00,0.5267,6642.7,19440128.32,-0.02666666666666667,5.29,3.72,824108,544088.0,281855.0,6228.599999999999,300.9482181372889
2020-04-02 00:00:00,0.211225,6794.6,27541639.13,-0.02,6.38,3.72,798186,569905.0,299176.0,6482.433333333333,138.99213407002892
2020-04-03 00:00:00,0.211225,6736.2,26022868.82,0.006666666666666667,5.76,3.63,750332,548300.0,278763.0,6615.666666666667,193.8687786450933
2020-04-04 00:00:00,0.211225,6856.4,16708372.22,0.01,5.14,3.9,657862,479599.0,253274.0,6724.5,76.62290780181931
2020-04-05 00:00:00,0.211225,6772.2,10722032.12,-0.0033333333333333335,6.12,4.34,596364,452282.0,240259.0,6795.733333333333,60.10801388616123
2020-04-06 00:00:00,0.211225,7329.5,19128356.95,0.0,8.09,5.1,780832,557192.0,280470.0,6788.266666666666,61.68965337347094
2020-04-07 00:00:00,0.211225,7197.9,27716900.34,-0.006666666666666667,8.29,5.1,938358,598670.0,312770.0,6986.033333333333,300.4154179354611
2020-04-08 00:00:00,0.211225,7359.7,19711882.23,0.0033333333333333335,7.3,4.99,760207,554336.0,286563.0,7099.866666666666,291.29662430817285
2020-04-09 00:00:00,0.211225,7284.9,15121575.88,0.0033333333333333335,6.91,5.1,730620,544185.0,286706.0,7295.7,86.03278444873028
2020-04-10 00:00:00,0.211225,6859.0,21393432.02,-0.0033333333333333335,7.5,5.1,735297,550585.0,288585.0,7280.833333333333,80.9766221408076
2020-04-11 00:00:00,0.211225,6878.1,10559929.94,0.01,7.11,4.88,634944,474445.0,247852.0,7167.866666666666,270.0883620842187
2020-04-12 00:00:00,0.211225,6901.6,13484818.02,0.01,5.76,3.72,618062,437242.0,228529.0,7007.333333333333,240.56941479194202
2020-04-13 00:00:00,0.211225,6838.1,17006426.21,0.0,6.63,3.8,764583,549230.0,288113.0,6879.566666666667,21.33783806618718
